GTFS Stop ID,Stop Name
637,Bleecker St
B23,Bay 50 St
607,Castle Hill Av
S01,Franklin Av
M18,Delancey St-Essex St
S27,Grasmere
252,Saratoga Av
230,Wall St
F34,Avenue P
725,Times Sq-42 St
F16,East Broadway
R01,Astoria-Ditmars Blvd
J22,Cleveland St
S25,Dongan Hills
257,New Lots Av
A36,Chambers St
L02,6 Av
D09,170 St
F12,5 Av/53 St
118,Cathedral Pkwy (110 St)
R08,39 Av-Dutch Kills
705,111 St
L10,Lorimer St
F32,Bay Pkwy
402,Mosholu Pkwy
226,116 St
G16,Northern Blvd
H14,Beach 105 St
R16,Times Sq-42 St
410,176 St
409,Burnside Av
D42,W 8 St-NY Aquarium
A03,Dyckman St
Q05,96 St
237,Grand Army Plaza
A16,116 St
A41,Jay St-MetroTech
633,28 St
A52,Liberty Av
D27,Parkside Av
204,Nereid Av
R29,Jay St-MetroTech
G32,Myrtle-Willoughby Avs
111,181 St
130,23 St
301,Harlem-148 St
R44,86 St
R30,DeKalb Av
F04,Sutphin Blvd
414,161 St-Yankee Stadium
D38,Neck Rd
R20,14 St-Union Sq
A51,Broadway Junction
614,Longwood Av
M06,Seneca Av
L15,Jefferson St
249,Kingston Av
245,Beverly Rd
H01,Aqueduct Racetrack
716,33 St-Rawson St
A20,86 St
A57,Grant Av
R25,Cortlandt St
208,Gun Hill Rd
D31,Newkirk Plaza
J29,Halsey St
G28,Nassau Av
201,Wakefield-241 St
135,Canal St
A15,125 St
D18,23 St
G33,Bedford-Nostrand Avs
702,Mets-Willets Point
D43,Coney Island-Stillwell Av
126,50 St
N10,86 St
G08,Forest Hills-71 Av
R34,Prospect Av
D08,174-175 Sts
S31,St George
S14,Pleasant Plains
A30,23 St
A46,Nostrand Av
502,Baychester Av
131,18 St
618,Brook Av
D03,Bedford Park Blvd
F39,Neptune Av
S21,Oakwood Heights
M23,Broad St
F22,Smith-9 Sts
L11,Graham Av
253,Rockaway Av
J17,75 St-Elderts Ln
241,President St-Medgar Evers College
S26,Old Town
A10,163 St-Amsterdam Av
626,86 St
G07,Jamaica-Van Wyck
B15,55 St
B04,21 St-Queensbridge
101,Van Cortlandt Park-242 St
709,82 St-Jackson Hts
L24,Atlantic Av
625,96 St
J23,Van Siclen Av
L25,Sutter Av
640,Brooklyn Bridge-City Hall
L03,14 St-Union Sq
F27,Church Av
215,174 St
R03,Astoria Blvd
